Extrato Conta Corrente 
Conta ;21499055
Período ;01/06/2026 a 31/08/2026
Saldo: ;0,00

Data Lançamento;Descrição;Valor;Saldo
03/06/2026;UBER TRIP SP;-59,66;3.140,34
07/06/2026;PIX RECEBIDO CLIENTE NORTHWIND STUDIO;6.400,00;9.540,34
10/06/2026;CURSO DESIGN SYSTEMS AVANCADO;-399,00;9.141,34
14/06/2026;RENDIMENTO CDB INTER;23,78;9.165,12
15/06/2026;VERCEL INC ASSINATURA PRO;-98,00;9.067,12
15/06/2026;OPENAI LLC API;-245,00;8.822,12
21/06/2026;DAS SIMPLES NACIONAL;-986,00;7.836,12
23/06/2026;CABIFY VIAGEM;-26,03;7.810,09
03/07/2026;CABIFY VIAGEM;-29,62;7.780,47
03/07/2026;RENDIMENTO CDB INTER;22,39;7.802,86
07/07/2026;PIX RECEBIDO CLIENTE NORTHWIND STUDIO;6.400,00;14.202,86
08/07/2026;UBER TRIP SP;-32,36;14.170,50
15/07/2026;VERCEL INC ASSINATURA PRO;-98,00;14.072,50
15/07/2026;OPENAI LLC API;-245,00;13.827,50
21/07/2026;DAS SIMPLES NACIONAL;-986,00;12.841,50
26/07/2026;CURSO DESIGN SYSTEMS AVANCADO;-399,00;12.442,50
07/08/2026;PIX RECEBIDO CLIENTE NORTHWIND STUDIO;6.400,00;18.842,50
07/08/2026;RENDIMENTO CDB INTER;53,85;18.896,35
09/08/2026;CURSO DESIGN SYSTEMS AVANCADO;-399,00;18.497,35
15/08/2026;VERCEL INC ASSINATURA PRO;-98,00;18.399,35
15/08/2026;OPENAI LLC API;-245,00;18.154,35
15/08/2026;UBER TRIP SP;-42,71;18.111,64
21/08/2026;DAS SIMPLES NACIONAL;-986,00;17.125,64
23/08/2026;CABIFY VIAGEM;-51,51;17.074,13
